1480112161	648	4590	1992	
1480112171	1296	9555	4233	
1480112181	2016	15288	6474	
1480112191	2736	20384	8715	
1480112201	3456	25641	10956	
1480112211	4104	31213	13232	
1480112221	4824	36309	15687	
1480112231	5544	42042	17928	
1480112241	6192	47138	20169	
1480112251	6912	52234	22410	
1480112261	7632	57967	24651	
1480112281	9000	68159	29382	
1480112291	9720	73892	31623	
1480112301	10440	78988	33864	
1480112311	11088	84525	36105	
1480112321	11808	89817	38346	
1480112331	12528	94913	40587	
1480112341	13176	100504	42828	
1480112351	13896	105742	45303	
1480112361	14616	110838	47559	
1480112371	15336	116571	49800	
1480112381	15984	121667	52041	
1480112391	16704	127388	54282	
1480112401	17424	132496	56675	
1480112411	18072	137592	59013	
1480112421	18792	143325	61254	
1480112431	19512	148421	63495	
1480112441	20232	154012	65736	
1480112451	20880	159250	67977	
1480112461	21600	164346	70467	
1480112471	22320	170079	72708	
1480112481	23040	175175	74949	
1480112491	23688	180845	77190	
1480112501	24408	186004	79431	
1480112511	25128	191100	81889	
1480112521	25776	196833	84162	
1480112531	26496	201929	86403	
1480112541	27216	207586	88644	
1480112551	27864	212758	90885	
1480112561	28584	217854	93126	
1480112571	29304	223587	95616	
1480112581	30024	228683	97857	
1480112591	30672	234075	100098	
1480112601	31392	239512	102339	
1480112611	32112	244608	104580	
1480112621	32760	249067	106323	
1480112631	33408	254163	108813	
1480112641	34128	259858	111054	
1480112651	34848	264992	113295	
1480112661	35496	270088	115536	
1480112671	36216	275821	117777	
1480112681	36936	280917	120267	
1480112691	37629	286650	122508	
1480112701	38304	291746	124749	
1480112711	39024	296842	126990	
1480112721	39744	302575	129231	
1480112731	40392	307671	131721	
1480112741	41112	313227	133962	
1480112751	41832	318500	136203	
1480112761	42552	323596	138444	
1480112771	43200	329329	140685	
1480112781	43920	334425	142926	
1480112791	44640	339521	145167	
1480112801	45288	345068	147657	
1480112811	46008	350350	149898	
1480112821	46728	355446	152139	
1480112831	47448	361044	154380	
1480112841	48096	365638	156610	
1480112851	48744	371264	158862	
1480112861	49248	375193	160605	
1480112871	49968	380289	162846	
1480112881	50688	386022	165306	
1480112891	51336	391118	167577	
1480112901	52056	396612	169818	
1480112911	52776	401947	172059	
1480112921	53424	407043	174300	
1480112931	54144	412776	176624	
1480112941	54864	417872	179031	
1480112951	55584	423506	181272	
1480112961	56232	428701	183513	
1480112971	56952	433797	185754	
1480112981	57672	439530	187995	
1480112991	58392	444626	190485	
1480113001	59040	450241	192726	
1480113011	59760	455455	194967	
1480113021	60480	460551	197208	
1480113031	61128	466215	199449	
1480113041	61848	471380	201876	
1480113051	62568	476476	204180	
1480113061	63288	481878	206421	
1480113071	63936	487305	208662	
1480113081	64656	492401	210903	
1480113091	65376	498134	213144	
1480113101	66061	503230	215634	
1480113111	66744	508498	217875	
1480113121	67464	514059	220116	
1480113131	68184	519155	222357	
1480113141	68832	524888	224598	
1480113151	69552	529984	227088	
1480113161	70272	535080	229329	
1480113171	70992	540813	231570	
1480113181	71640	545909	233811	
1480113191	72360	551148	236052	
1480113201	73080	556738	238293	
1480113211	73728	561834	240566	
1480113221	74448	567567	243024	
1480113231	75168	572663	245265	
1480113241	75888	577774	247506	
1480113251	76536	583492	249747	
1480113261	77256	588588	251988	
1480113271	77976	594093	254478	
1480113281	78624	599417	256719	
1480113291	79344	604513	258960	
1480113301	80064	610246	261201	
1480113311	80784	615342	263442	
1480113321	81432	620703	265932	
1480113331	82152	626171	268173	
1480113341	82872	631267	270414	
1480113351	83520	637000	272655	
1480113361	84240	642096	274896	
1480113371	84960	647688	277137	
1480113381	85680	652925	279627	
1480113391	86328	658021	281868	
1480113401	87048	663126	284109	
1480113411	87768	668850	286350	
1480113421	88416	673946	288591	
1480113431	89136	679219	290832	
1480113441	89856	684775	293073	
1480113451	90576	689871	295563	
1480113461	91224	695604	297804	
1480113471	91944	700700	300045	
1480113481	92664	705796	302286	
1480113491	93312	711529	304527	
1480113501	94032	716625	307017	
1480113511	94752	721721	309258	
1480113521	95447	727454	311499	
1480113531	96120	732550	313740	
1480113541	96840	738283	315981	
1480113551	97560	743379	318471	
1480113561	98208	748527	320712	
1480113571	98928	754208	322953	
1480113581	99648	759304	325194	
1480113591	100368	765037	327435	
1480113601	101016	770133	329925	
1480113611	101736	775229	332166	
1480113621	102456	780962	334407	
1480113631	103104	786058	336648	
1480113641	103824	791791	338889	
1480113651	104544	796887	341130	
1480113661	105264	802299	343620	
1480113671	105912	807716	345861	
1480113681	106632	812812	348102	
1480113691	107280	818545	350343	
1480113701	107784	822367	352086	
1480113711	108504	827463	354327	
1480113721	109224	832676	356568	
1480113731	109872	838292	359020	
1480113741	110592	843388	361299	
1480113751	111312	849121	363540	
1480113761	111960	854217	365781	
1480113771	112680	859475	368022	
1480113781	113400	865046	370263	
1480113791	114048	870142	372753	
1480113801	114768	875875	374994	
1480113811	115488	880971	377235	
1480113821	116208	886067	379476	
1480113831	116856	891800	381717	
1480113841	117576	896896	384144	
1480113851	118296	902629	386448	
1480113861	118944	907725	388689	
1480113871	119664	913018	390930	
1480113881	120384	918554	393171	
1480113891	121104	923650	395412	
1480113901	121752	929383	397653	
1480113911	122472	934479	399968	
1480113921	123192	939575	402295	
1480113931	123840	945308	404625	
1480113941	124560	950404	406866	
1480113951	125280	956137	409107	
1480113961	125968	961233	411348	
1480113971	126648	966329	413660	
1480113981	127368	972062	416079	
1480113991	128088	977158	418320	
1480114001	128736	982254	420561	
1480114011	129456	987987	422802	
1480114021	130176	993083	425043	
1480114031	130824	998816	427284	
1480114041	131544	1003912	429525	
1480114051	132264	1009008	431997	
1480114061	132916	1014741	434256	
1480114071	133632	1019837	436497	
1480114081	134352	1025346	438738	
1480114091	135072	1030666	440979	
1480114101	135720	1035762	443220	
1480114111	136440	1040947	445710	
1480114121	137160	1046591	447951	
1480114131	137808	1051687	450192	
1480114141	138528	1056783	452433	
1480114151	139248	1061879	454674	
1480114161	139968	1067557	456915	
1480114171	140616	1072708	459279	
1480114181	141336	1077804	461646	
1480114191	141984	1082900	463638	
1480114201	142632	1087996	465879	
1480114211	143352	1093359	468120	
1480114221	144072	1098825	470610	
1480114231	144792	1103921	472851	
1480114241	145440	1109654	475092	
1480114251	146160	1114750	477333	
1480114261	146880	1119846	479574	
1480114271	147528	1125579	481833	
1480114281	148248	1130675	484305	
1480114291	148968	1135771	486546	
1480114301	149616	1141504	488787	
1480114311	150336	1146600	491028	
1480114321	151056	1151723	493269	
1480114331	151776	1157429	495510	
1480114341	152424	1162525	497751	
1480114351	153144	1168258	500241	
1480114361	153864	1173354	502482	
1480114371	154512	1178450	504723	
1480114381	155232	1184183	506964	
1480114391	155952	1189279	509205	
1480114401	156672	1195012	511680	
1480114411	157320	1200108	513936	
1480114421	158040	1205204	516177	
1480114431	158544	1208599	517671	
1480114441	159120	1212848	519165	
1480114451	159768	1217944	521655	
1480114461	160488	1223622	523896	
1480114471	161208	1228773	526137	
1480114481	161856	1233869	528378	
1480114491	162576	1239602	530619	
1480114501	163296	1244698	532952	
1480114511	164016	1250280	535350	
1480114521	164664	1255527	537591	
1480114531	165384	1260623	539832	
1480114541	166104	1266229	542073	
1480114551	166752	1271452	544314	
1480114561	167472	1276548	546555	
1480114571	168192	1282281	548908	
1480114581	168878	1287377	551286	
1480114591	169560	1293110	553527	
1480114601	170280	1298206	555768	
1480114611	171000	1303302	558009	
1480114621	171648	1309035	560360	
1480114631	172368	1314131	562740	
1480114641	173088	1319864	564981	
1480114651	173808	1324960	567222	
1480114661	174456	1330056	569463	
1480114671	175176	1335789	571704	
1480114681	175896	1340885	574194	
1480114691	176544	1346189	576435	
1480114701	177264	1351714	578676	
1480114711	177984	1356810	580917	
1480114721	178632	1362007	583158	
1480114731	179352	1367639	585399	
1480114741	180072	1372735	587643	
1480114751	180792	1377831	590130	
1480114761	181152	1381653	591375	
1480114771	181872	1386749	593616	
1480114781	182592	1392165	595857	
1480114810	183240	1397441	598099	
1480114811	183312	1397578	598347	
1480114837	183529	1398934	599095	
1480114841	183816	1400763	599841	
1480114851	184464	1405859	602082	
1480114861	184752	1407770	602829	
1480114871	185112	1410941	604074	
1480114881	185832	1416051	606315	
1480114891	186480	1421147	608556	
1480114901	187200	1426880	610797	
1480114911	187920	1431976	613038	
1480114921	188568	1437662	615462	
1480114931	189288	1442805	617769	
1480114941	190008	1447901	620010	
1480114951	190656	1453634	622251	
1480114961	191376	1458730	624492	
1480114971	192096	1464104	626733	
1480114981	192816	1469559	628974	
1480114991	193464	1474655	631464	
1480115001	194184	1480388	633705	
1480115011	194904	1485484	635946	
1480115021	195624	1490580	638187	
1480115031	196272	1496313	640428	
1480115041	196992	1501409	642669	
1480115051	197712	1506513	645159	
1480115061	198360	1512238	647400	
1480115071	199080	1517334	649641	
1480115081	199800	1523067	651882	
1480115091	200448	1528163	654123	
1480115101	201168	1533259	656613	
1480115111	201888	1538992	658854	
1480115121	202608	1544088	661095	
1480115131	203256	1549638	663336	
1480115141	203976	1554917	665577	
1480115151	204696	1560013	667818	
1480115161	205344	1565746	670242	
1480115171	206064	1570842	672549	
1480115181	206784	1576239	674790	
1480115191	207504	1581671	677031	
1480115201	208152	1586767	679272	
1480115211	208872	1592191	681513	
1480115221	209592	1597596	683754	
1480115231	210240	1602692	686244	
1480115241	210960	1608425	688485	
1480115251	211680	1613521	690726	
1480115261	212400	1619133	692967	
1480115271	213048	1624350	695208	
1480115281	213768	1629446	697517	
1480115291	214488	1635179	699939	
1480115301	215208	1640275	702180	
1480115311	215856	1645475	704421	
1480115321	216576	1651104	706662	
1480115331	217296	1656200	708903	
1480115341	217944	1661933	711144	
1480115351	218664	1667029	713385	
1480115361	219384	1672125	715875	
1480115377	219961	1676635	717868	
1480115381	220248	1679132	718863	
1480115391	220968	1684228	721104	
1480115401	221688	1689482	723410	
1480115411	222372	1695057	725835	
1480115421	223056	1700153	728076	
1480115431	223776	1705886	730317	
1480115441	224496	1710982	732558	
1480115451	225144	1716228	734808	
1480115461	225864	1721811	737289	
1480115471	226584	1726907	739530	
1480115481	227232	1732640	741771	
1480115491	227952	1737736	744012	
1480115501	228672	1742955	746253	
1480115511	229372	1748565	748577	
1480115521	230040	1753661	750984	
1480115531	230760	1759394	753225	
1480115541	231480	1764490	755466	
1480115551	232128	1769639	757707	
1480115561	232848	1775319	759948	
1480115571	233568	1780415	762303	
1480115581	234288	1786148	764679	
1480115591	234936	1791244	766920	
1480115601	235656	1796340	769161	
1480115611	236376	1802073	771402	
1480115621	237024	1807169	773643	
1480115631	237744	1812902	776133	
1480115641	238464	1817998	778374	
1480115651	239184	1823278	780615	
1480115661	239832	1828827	782856	
1480115671	240552	1833923	785097	
1480115681	241272	1839019	787384	
1480115691	241992	1844752	789828	
1480115701	242640	1849211	791909	
1480115711	243288	1854347	794310	
1480115721	244008	1860040	796551	
1480115731	244728	1865136	798792	
1480115741	245448	1870869	801033	
1480115751	246096	1875965	803274	

